Comparison ID,Field,Predicted Value,Ground Truth Value,Match,Form Type
0,Employee Name,Richard Clay,Richard Clay,True,ADP1
0,Employer Name,Stewart LLC PLC,Stewart LLC PLC,True,ADP1
0,Wages and Tips,212599.67,212599.67,True,ADP1
0,Federal Income Tax Withheld,38321.07,38321.07,True,ADP1
0,Social Security Wages,264058.45,264058.45,True,ADP1
0,Medicare Wages and Tips,258178.22,258178.22,True,ADP1
0,State 1,CA,CA,True,ADP1
0,State 1 Wages and Tips,111769.70,111769.70,True,ADP1
0,State 1 Income Tax Withheld,9439.37,9408.37,False,ADP1
0,State 2,,,True,ADP1
0,State 2 Wages and Tips,,,True,ADP1
0,State 2 Income Tax Withheld,,,True,ADP1
0,Field Count Check,Yes,Yes,True,ADP1
1,Employee Name,Michele Stewart,Michele Stewart,True,ADP1
1,Employer Name,Fowler and Sons Sons,Fowler and Sons and Sons,False,ADP1
1,Wages and Tips,101030.49,101030.49,True,ADP1
1,Federal Income Tax Withheld,14946.90,14946.90,True,ADP1
1,Social Security Wages,117195.40,117195.40,True,ADP1
1,Medicare Wages and Tips,108538.83,108538.83,True,ADP1
1,State 1,CO,CO,True,ADP1
1,State 1 Wages and Tips,52462.33,52462.33,True,ADP1
1,State 1 Income Tax Withheld,3142.99,3142.29,False,ADP1
1,State 2,,,True,ADP1
1,State 2 Wages and Tips,,,True,ADP1
1,State 2 Income Tax Withheld,,,True,ADP1
1,Field Count Check,Yes,Yes,True,ADP1
2,Employee Name,Robert Hines,Robert Hines,True,ADP1
2,Employer Name,Scott-Lewis and Sons,Scott-Lewis and Sons,True,ADP1
2,Wages and Tips,128916.10,128916.10,True,ADP1
2,Federal Income Tax Withheld,41874.30,41874.30,True,ADP1
2,Social Security Wages,143921.45,142921.45,False,ADP1
2,Medicare Wages and Tips,93622.64,93622.64,True,ADP1
2,State 1,MD,MD,True,ADP1
2,State 1 Wages and Tips,66019.13,66019.13,True,ADP1
2,State 1 Income Tax Withheld,3874.84,3874.84,True,ADP1
2,State 2,,,True,ADP1
2,State 2 Wages and Tips,,,True,ADP1
2,State 2 Income Tax Withheld,,,True,ADP1
2,Field Count Check,Yes,Yes,True,ADP1
3,Employee Name,Laura Rogers,Laura Rogers,True,ADP1
3,Employer Name,Johnson-Murray PLC,Johnson-Murray PLC,True,ADP1
3,Wages and Tips,89164.04,89164.04,True,ADP1
3,Federal Income Tax Withheld,14534.95,14534.95,True,ADP1
3,Social Security Wages,107986.99,107986.99,True,ADP1
3,Medicare Wages and Tips,106993.93,106993.93,True,ADP1
3,State 1,LA,LA,True,ADP1
3,State 1 Wages and Tips,46264.90,46264.90,True,ADP1
3,State 1 Income Tax Withheld,4807.32,4807.32,True,ADP1
3,State 2,,,True,ADP1
3,State 2 Wages and Tips,,,True,ADP1
3,State 2 Income Tax Withheld,,,True,ADP1
3,Field Count Check,Yes,Yes,True,ADP1
4,Employee Name,Johnny Snyder,Johnny Snyder,True,ADP1
4,Employer Name,Cruz-Rodriguez Group,Cruz-Rodriguez Group,True,ADP1
4,Wages and Tips,172089.92,172089.92,True,ADP1
4,Federal Income Tax Withheld,57028.12,57028.12,True,ADP1
4,Social Security Wages,153502.71,155302.71,False,ADP1
4,Medicare Wages and Tips,152081.76,152081.76,True,ADP1
4,State 1,KS,KS,True,ADP1
4,State 1 Wages and Tips,85181.15,85181.15,True,ADP1
