

**ADP1 Overall Accuracy**: 89.23%

**ADP1 Field Summary**:
| Field                       |   total_comparisons |   matches |   mismatches |   accuracy |   mismatch_percentage |
|:----------------------------|--------------------:|----------:|-------------:|-----------:|----------------------:|
| Employee Name               |                  25 |        25 |            0 |       1    |               0       |
| Employer Name               |                  25 |        23 |            2 |       0.92 |               5.71429 |
| Federal Income Tax Withheld |                  25 |        24 |            1 |       0.96 |               2.85714 |
| Field Count Check           |                  25 |        25 |            0 |       1    |               0       |
| Medicare Wages and Tips     |                  25 |        24 |            1 |       0.96 |               2.85714 |
| Social Security Wages       |                  25 |        13 |           12 |       0.52 |              34.2857  |
| State 1                     |                  25 |        23 |            2 |       0.92 |               5.71429 |
| State 1 Income Tax Withheld |                  25 |        15 |           10 |       0.6  |              28.5714  |
| State 1 Wages and Tips      |                  25 |        23 |            2 |       0.92 |               5.71429 |
| State 2                     |                  25 |        25 |            0 |       1    |               0       |
| State 2 Income Tax Withheld |                  25 |        25 |            0 |       1    |               0       |
| State 2 Wages and Tips      |                  25 |        25 |            0 |       1    |               0       |
| Wages and Tips              |                  25 |        20 |            5 |       0.8  |              14.2857  |

**ADP1 Sample Summary**:
|   Comparison ID |   total_fields |   matches |   mismatches |   accuracy |
|----------------:|---------------:|----------:|-------------:|-----------:|
|               0 |             13 |        12 |            1 |   0.923077 |
|               1 |             13 |        11 |            2 |   0.846154 |
|               2 |             13 |        12 |            1 |   0.923077 |
|               3 |             13 |        13 |            0 |   1        |
|               4 |             13 |        11 |            2 |   0.846154 |
|               5 |             13 |        11 |            2 |   0.846154 |
|               6 |             13 |        11 |            2 |   0.846154 |
|               7 |             13 |        11 |            2 |   0.846154 |
|               8 |             13 |        12 |            1 |   0.923077 |
|               9 |             13 |        11 |            2 |   0.846154 |
|              10 |             13 |        13 |            0 |   1        |
|              11 |             13 |        12 |            1 |   0.923077 |
|              12 |             13 |        12 |            1 |   0.923077 |
|              13 |             13 |        11 |            2 |   0.846154 |
|              14 |             13 |        12 |            1 |   0.923077 |
|              15 |             13 |        12 |            1 |   0.923077 |
|              16 |             13 |        10 |            3 |   0.769231 |
|              17 |             13 |        11 |            2 |   0.846154 |
|              18 |             13 |        12 |            1 |   0.923077 |
|              19 |             13 |        13 |            0 |   1        |
|              20 |             13 |        12 |            1 |   0.923077 |
|              21 |             13 |        10 |            3 |   0.769231 |
|              22 |             13 |        12 |            1 |   0.923077 |
|              23 |             13 |        11 |            2 |   0.846154 |
|              24 |             13 |        12 |            1 |   0.923077 |

**ADP1 Detailed Comparison**:
|   Comparison ID | Field                       | Predicted Value                  | Ground Truth Value               |   Accuracy % |
|----------------:|:----------------------------|:---------------------------------|:---------------------------------|-------------:|
|               0 | Employee Name               | Richard Clay                     | Richard Clay                     |          100 |
|               0 | Employer Name               | Stewart LLC PLC                  | Stewart LLC PLC                  |          100 |
|               0 | Federal Income Tax Withheld | 38321.07                         | 38321.07                         |          100 |
|               0 | Field Count Check           | Yes                              | Yes                              |          100 |
|               0 | Medicare Wages and Tips     | 258178.22                        | 258178.22                        |          100 |
|               0 | Social Security Wages       | 264058.45                        | 264058.45                        |          100 |
|               0 | State 1                     | CA                               | CA                               |          100 |
|               0 | State 1 Income Tax Withheld | 9439.37                          | 9408.37                          |            0 |
|               0 | State 1 Wages and Tips      | 111769.70                        | 111769.70                        |          100 |
|               0 | State 2                     | nan                              | nan                              |          100 |
|               0 | State 2 Income Tax Withheld | nan                              | nan                              |          100 |
|               0 | State 2 Wages and Tips      | nan                              | nan                              |          100 |
|               0 | Wages and Tips              | 212599.67                        | 212599.67                        |          100 |
|               1 | Employee Name               | Michele Stewart                  | Michele Stewart                  |          100 |
|               1 | Employer Name               | Fowler and Sons Sons             | Fowler and Sons and Sons         |            0 |
|               1 | Federal Income Tax Withheld | 14946.90                         | 14946.90                         |          100 |
|               1 | Field Count Check           | Yes                              | Yes                              |          100 |
|               1 | Medicare Wages and Tips     | 108538.83                        | 108538.83                        |          100 |
|               1 | Social Security Wages       | 117195.40                        | 117195.40                        |          100 |
|               1 | State 1                     | CO                               | CO                               |          100 |
|               1 | State 1 Income Tax Withheld | 3142.99                          | 3142.29                          |            0 |
|               1 | State 1 Wages and Tips      | 52462.33                         | 52462.33                         |          100 |
|               1 | State 2                     | nan                              | nan                              |          100 |
|               1 | State 2 Income Tax Withheld | nan                              | nan                              |          100 |
|               1 | State 2 Wages and Tips      | nan                              | nan                              |          100 |
|               1 | Wages and Tips              | 101030.49                        | 101030.49                        |          100 |
|               2 | Employee Name               | Robert Hines                     | Robert Hines                     |          100 |
|               2 | Employer Name               | Scott-Lewis and Sons             | Scott-Lewis and Sons             |          100 |
|               2 | Federal Income Tax Withheld | 41874.30                         | 41874.30                         |          100 |
|               2 | Field Count Check           | Yes                              | Yes                              |          100 |
|               2 | Medicare Wages and Tips     | 93622.64                         | 93622.64                         |          100 |
|               2 | Social Security Wages       | 143921.45                        | 142921.45                        |            0 |
|               2 | State 1                     | MD                               | MD                               |          100 |
|               2 | State 1 Income Tax Withheld | 3874.84                          | 3874.84                          |          100 |
|               2 | State 1 Wages and Tips      | 66019.13                         | 66019.13                         |          100 |
|               2 | State 2                     | nan                              | nan                              |          100 |
|               2 | State 2 Income Tax Withheld | nan                              | nan                              |          100 |
|               2 | State 2 Wages and Tips      | nan                              | nan                              |          100 |
|               2 | Wages and Tips              | 128916.10                        | 128916.10                        |          100 |
|               3 | Employee Name               | Laura Rogers                     | Laura Rogers                     |          100 |
|               3 | Employer Name               | Johnson-Murray PLC               | Johnson-Murray PLC               |          100 |
|               3 | Federal Income Tax Withheld | 14534.95                         | 14534.95                         |          100 |
|               3 | Field Count Check           | Yes                              | Yes                              |          100 |
|               3 | Medicare Wages and Tips     | 106993.93                        | 106993.93                        |          100 |
|               3 | Social Security Wages       | 107986.99                        | 107986.99                        |          100 |
|               3 | State 1                     | LA                               | LA                               |          100 |
|               3 | State 1 Income Tax Withheld | 4807.32                          | 4807.32                          |          100 |
|               3 | State 1 Wages and Tips      | 46264.90                         | 46264.90                         |          100 |
|               3 | State 2                     | nan                              | nan                              |          100 |
|               3 | State 2 Income Tax Withheld | nan                              | nan                              |          100 |
|               3 | State 2 Wages and Tips      | nan                              | nan                              |          100 |
|               3 | Wages and Tips              | 89164.04                         | 89164.04                         |          100 |
|               4 | Employee Name               | Johnny Snyder                    | Johnny Snyder                    |          100 |
|               4 | Employer Name               | Cruz-Rodriguez Group             | Cruz-Rodriguez Group             |          100 |
|               4 | Federal Income Tax Withheld | 57028.12                         | 57028.12                         |          100 |
|               4 | Field Count Check           | Yes                              | Yes                              |          100 |
|               4 | Medicare Wages and Tips     | 152081.76                        | 152081.76                        |          100 |
|               4 | Social Security Wages       | 153502.71                        | 155302.71                        |            0 |
|               4 | State 1                     | KS                               | KS                               |          100 |
|               4 | State 1 Income Tax Withheld | 4716.75                          | 4176.75                          |            0 |
|               4 | State 1 Wages and Tips      | 85181.15                         | 85181.15                         |          100 |
|               4 | State 2                     | nan                              | nan                              |          100 |
|               4 | State 2 Income Tax Withheld | nan                              | nan                              |          100 |
|               4 | State 2 Wages and Tips      | nan                              | nan                              |          100 |
|               4 | Wages and Tips              | 172089.92                        | 172089.92                        |          100 |
|               5 | Employee Name               | Alec Stuart                      | Alec Stuart                      |          100 |
|               5 | Employer Name               | Ross-Owen LLC                    | Ross-Owen LLC                    |          100 |
|               5 | Federal Income Tax Withheld | 27048.50                         | 27048.50                         |          100 |
|               5 | Field Count Check           | Yes                              | Yes                              |          100 |
|               5 | Medicare Wages and Tips     | 162890.57                        | 162890.57                        |          100 |
|               5 | Social Security Wages       | 172224.73                        | 172226.73                        |            0 |
|               5 | State 1                     | TN                               | TN                               |          100 |
|               5 | State 1 Income Tax Withheld | 4890.42                          | 4869.42                          |            0 |
|               5 | State 1 Wages and Tips      | 66698.70                         | 66698.70                         |          100 |
|               5 | State 2                     | nan                              | nan                              |          100 |
