

**ADP2 Overall Accuracy**: 100.00%

**ADP2 Field Summary**:
| Field                       |   total_comparisons |   matches |   mismatches |   accuracy |   mismatch_percentage |
|:----------------------------|--------------------:|----------:|-------------:|-----------:|----------------------:|
| Employee Name               |                  25 |        25 |            0 |          1 |                     0 |
| Employer Name               |                  25 |        25 |            0 |          1 |                     0 |
| Federal Income Tax Withheld |                  25 |        25 |            0 |          1 |                     0 |
| Field Count Check           |                  25 |        25 |            0 |          1 |                     0 |
| Medicare Wages and Tips     |                  25 |        25 |            0 |          1 |                     0 |
| Social Security Wages       |                  25 |        25 |            0 |          1 |                     0 |
| State 1                     |                  25 |        25 |            0 |          1 |                     0 |
| State 1 Income Tax Withheld |                  25 |        25 |            0 |          1 |                     0 |
| State 1 Wages and Tips      |                  25 |        25 |            0 |          1 |                     0 |
| State 2                     |                  25 |        25 |            0 |          1 |                     0 |
| State 2 Income Tax Withheld |                  25 |        25 |            0 |          1 |                     0 |
| State 2 Wages and Tips      |                  25 |        25 |            0 |          1 |                     0 |
| Wages and Tips              |                  25 |        25 |            0 |          1 |                     0 |

**ADP2 Sample Summary**:
|   Comparison ID |   total_fields |   matches |   mismatches |   accuracy |
|----------------:|---------------:|----------:|-------------:|-----------:|
|              25 |             13 |        13 |            0 |          1 |
|              26 |             13 |        13 |            0 |          1 |
|              27 |             13 |        13 |            0 |          1 |
|              28 |             13 |        13 |            0 |          1 |
|              29 |             13 |        13 |            0 |          1 |
|              30 |             13 |        13 |            0 |          1 |
|              31 |             13 |        13 |            0 |          1 |
|              32 |             13 |        13 |            0 |          1 |
|              33 |             13 |        13 |            0 |          1 |
|              34 |             13 |        13 |            0 |          1 |
|              35 |             13 |        13 |            0 |          1 |
|              36 |             13 |        13 |            0 |          1 |
|              37 |             13 |        13 |            0 |          1 |
|              38 |             13 |        13 |            0 |          1 |
|              39 |             13 |        13 |            0 |          1 |
|              40 |             13 |        13 |            0 |          1 |
|              41 |             13 |        13 |            0 |          1 |
|              42 |             13 |        13 |            0 |          1 |
|              43 |             13 |        13 |            0 |          1 |
|              44 |             13 |        13 |            0 |          1 |
|              45 |             13 |        13 |            0 |          1 |
|              46 |             13 |        13 |            0 |          1 |
|              47 |             13 |        13 |            0 |          1 |
|              48 |             13 |        13 |            0 |          1 |
|              49 |             13 |        13 |            0 |          1 |

**ADP2 Detailed Comparison**:
|   Comparison ID | Field                       | Predicted Value                    | Ground Truth Value                 |   Accuracy % |
|----------------:|:----------------------------|:-----------------------------------|:-----------------------------------|-------------:|
|              25 | Employee Name               | Steven Gallagher                   | Steven Gallagher                   |          100 |
|              25 | Employer Name               | Russell-Perry Ltd                  | Russell-Perry Ltd                  |          100 |
|              25 | Federal Income Tax Withheld | 53019.99                           | 53019.99                           |          100 |
|              25 | Field Count Check           | Yes                                | Yes                                |          100 |
|              25 | Medicare Wages and Tips     | 186980.56                          | 186980.56                          |          100 |
|              25 | Social Security Wages       | 202034.93                          | 202034.93                          |          100 |
|              25 | State 1                     | MS                                 | MS                                 |          100 |
|              25 | State 1 Income Tax Withheld | 6352.73                            | 6352.73                            |          100 |
|              25 | State 1 Wages and Tips      | 84606.23                           | 84606.23                           |          100 |
|              25 | State 2                     | nan                                | nan                                |          100 |
|              25 | State 2 Income Tax Withheld | nan                                | nan                                |          100 |
|              25 | State 2 Wages and Tips      | nan                                | nan                                |          100 |
|              25 | Wages and Tips              | 158646.42                          | 158646.42                          |          100 |
|              26 | Employee Name               | James Patel                        | James Patel                        |          100 |
|              26 | Employer Name               | Thomas, Wang and Dean Inc          | Thomas, Wang and Dean Inc          |          100 |
|              26 | Federal Income Tax Withheld | 66193.23                           | 66193.23                           |          100 |
|              26 | Field Count Check           | Yes                                | Yes                                |          100 |
