

**IRS1 Overall Accuracy**: 100.00%

**IRS1 Field Summary**:
| Field                       |   total_comparisons |   matches |   mismatches |   accuracy |   mismatch_percentage |
|:----------------------------|--------------------:|----------:|-------------:|-----------:|----------------------:|
| Employee Name               |                  25 |        25 |            0 |          1 |                     0 |
| Employer Name               |                  25 |        25 |            0 |          1 |                     0 |
| Federal Income Tax Withheld |                  25 |        25 |            0 |          1 |                     0 |
| Field Count Check           |                  25 |        25 |            0 |          1 |                     0 |
| Medicare Wages and Tips     |                  25 |        25 |            0 |          1 |                     0 |
| Social Security Wages       |                  25 |        25 |            0 |          1 |                     0 |
| State 1                     |                  25 |        25 |            0 |          1 |                     0 |
| State 1 Income Tax Withheld |                  25 |        25 |            0 |          1 |                     0 |
| State 1 Wages and Tips      |                  25 |        25 |            0 |          1 |                     0 |
| State 2                     |                  25 |        25 |            0 |          1 |                     0 |
| State 2 Income Tax Withheld |                  25 |        25 |            0 |          1 |                     0 |
| State 2 Wages and Tips      |                  25 |        25 |            0 |          1 |                     0 |
| Wages and Tips              |                  25 |        25 |            0 |          1 |                     0 |

**IRS1 Sample Summary**:
|   Comparison ID |   total_fields |   matches |   mismatches |   accuracy |
|----------------:|---------------:|----------:|-------------:|-----------:|
|              50 |             13 |        13 |            0 |          1 |
|              51 |             13 |        13 |            0 |          1 |
|              52 |             13 |        13 |            0 |          1 |
|              53 |             13 |        13 |            0 |          1 |
|              54 |             13 |        13 |            0 |          1 |
|              55 |             13 |        13 |            0 |          1 |
|              56 |             13 |        13 |            0 |          1 |
|              57 |             13 |        13 |            0 |          1 |
|              58 |             13 |        13 |            0 |          1 |
|              59 |             13 |        13 |            0 |          1 |
|              60 |             13 |        13 |            0 |          1 |
|              61 |             13 |        13 |            0 |          1 |
|              62 |             13 |        13 |            0 |          1 |
|              63 |             13 |        13 |            0 |          1 |
|              64 |             13 |        13 |            0 |          1 |
|              65 |             13 |        13 |            0 |          1 |
|              66 |             13 |        13 |            0 |          1 |
|              67 |             13 |        13 |            0 |          1 |
|              68 |             13 |        13 |            0 |          1 |
|              69 |             13 |        13 |            0 |          1 |
|              70 |             13 |        13 |            0 |          1 |
|              71 |             13 |        13 |            0 |          1 |
|              72 |             13 |        13 |            0 |          1 |
|              73 |             13 |        13 |            0 |          1 |
|              74 |             13 |        13 |            0 |          1 |

**IRS1 Detailed Comparison**:
|   Comparison ID | Field                       | Predicted Value                   | Ground Truth Value                |   Accuracy % |
|----------------:|:----------------------------|:----------------------------------|:----------------------------------|-------------:|
|              50 | Employee Name               | Benjamin Burch                    | Benjamin Burch                    |          100 |
|              50 | Employer Name               | Ward, Allison and Jimenez Inc     | Ward, Allison and Jimenez Inc     |          100 |
|              50 | Federal Income Tax Withheld | 53423.50                          | 53423.50                          |          100 |
|              50 | Field Count Check           | Yes                               | Yes                               |          100 |
|              50 | Medicare Wages and Tips     | 225347.99                         | 225347.99                         |          100 |
|              50 | Social Security Wages       | 272174.17                         | 272174.17                         |          100 |
|              50 | State 1                     | UT                                | UT                                |          100 |
|              50 | State 1 Income Tax Withheld | 6744.55                           | 6744.55                           |          100 |
|              50 | State 1 Wages and Tips      | 101914.73                         | 101914.73                         |          100 |
|              50 | State 2                     | MS                                | MS                                |          100 |
|              50 | State 2 Income Tax Withheld | 7135.46                           | 7135.46                           |          100 |
|              50 | State 2 Wages and Tips      | 111269.12                         | 111269.12                         |          100 |
|              50 | Wages and Tips              | 209665.25                         | 209665.25                         |          100 |
|              51 | Employee Name               | Kevin David                       | Kevin David                       |          100 |
|              51 | Employer Name               | Nolan-Conley LLC                  | Nolan-Conley LLC                  |          100 |
|              51 | Federal Income Tax Withheld | 20338.94                          | 20338.94                          |          100 |
|              51 | Field Count Check           | Yes                               | Yes                               |          100 |
|              51 | Medicare Wages and Tips     | 143486.80                         | 143486.80                         |          100 |
|              51 | Social Security Wages       | 92010.56                          | 92010.56                          |          100 |
|              51 | State 1                     | IN                                | IN                                |          100 |
|              51 | State 1 Income Tax Withheld | 2878.00                           | 2878.00                           |          100 |
|              51 | State 1 Wages and Tips      | 59730.53                          | 59730.53                          |          100 |
|              51 | State 2                     | MA                                | MA                                |          100 |
|              51 | State 2 Income Tax Withheld | 2444.56                           | 2444.56                           |          100 |
|              51 | State 2 Wages and Tips      | 53139.71                          | 53139.71                          |          100 |
|              51 | Wages and Tips              | 110531.70                         | 110531.70                         |          100 |
|              52 | Employee Name               | Leonard Santos                    | Leonard Santos                    |          100 |
|              52 | Employer Name               | Ramirez Inc PLC                   | Ramirez Inc PLC                   |          100 |
