Comparison ID,Field,Predicted Value,Ground Truth Value,Match,Form Type
0,employee_name,Richard Clay,Richard Clay,True,ADP1
0,employer_name,Stewart LLC PLC,Stewart LLC PLC,True,ADP1
0,federal_income_tax_withheld,38321.07,38321.07,True,ADP1
0,medicare_wages_and_tips,271121.20,258178.22,False,ADP1
0,social_security_wages,300000.00,264058.45,False,ADP1
0,state_1,CA,CA,True,ADP1
0,state_1_income_tax_withheld,9408.37,9408.37,True,ADP1
0,state_1_wages_and_tips,111769.70,111769.70,True,ADP1
0,state_2,,,True,ADP1
0,state_2_income_tax_withheld,,,True,ADP1
0,state_2_wages_and_tips,,,True,ADP1
0,wages_and_tips,212599.67,212599.67,True,ADP1
1,employee_name,Michele Stewart,Michele Stewart,True,ADP1
1,employer_name,Fowler and Sons,Fowler and Sons and Sons,False,ADP1
1,federal_income_tax_withheld,14946.90,14946.90,True,ADP1
1,medicare_wages_and_tips,108538.83,108538.83,True,ADP1
1,social_security_wages,117195.40,117195.40,True,ADP1
1,state_1,CO,CO,True,ADP1
1,state_1_income_tax_withheld,3142.29,3142.29,True,ADP1
1,state_1_wages_and_tips,52462.33,52462.33,True,ADP1
1,state_2,,,True,ADP1
1,state_2_income_tax_withheld,,,True,ADP1
1,state_2_wages_and_tips,,,True,ADP1
1,wages_and_tips,101030.49,101030.49,True,ADP1
2,employee_name,Robert Hines,Robert Hines,True,ADP1
2,employer_name,Scott-Lewis and Sons,Scott-Lewis and Sons,True,ADP1
2,federal_income_tax_withheld,41874.30,41874.30,True,ADP1
2,medicare_wages_and_tips,93622.64,93622.64,True,ADP1
2,social_security_wages,142921.45,142921.45,True,ADP1
2,state_1,MD,MD,True,ADP1
2,state_1_income_tax_withheld,3874.84,3874.84,True,ADP1
2,state_1_wages_and_tips,66019.13,66019.13,True,ADP1
2,state_2,,,True,ADP1
2,state_2_income_tax_withheld,,,True,ADP1
2,state_2_wages_and_tips,,,True,ADP1
2,wages_and_tips,128916.10,128916.10,True,ADP1
3,employee_name,Laura Rogers,Laura Rogers,True,ADP1
3,employer_name,Johnson-Murray PLC,Johnson-Murray PLC,True,ADP1
3,federal_income_tax_withheld,14534.95,14534.95,True,ADP1
3,medicare_wages_and_tips,106993.93,106993.93,True,ADP1
3,social_security_wages,107986.99,107986.99,True,ADP1
3,state_1,LA,LA,True,ADP1
3,state_1_income_tax_withheld,4807.32,4807.32,True,ADP1
3,state_1_wages_and_tips,46264.90,46264.90,True,ADP1
3,state_2,,,True,ADP1
3,state_2_income_tax_withheld,,,True,ADP1
3,state_2_wages_and_tips,,,True,ADP1
3,wages_and_tips,89164.04,89164.04,True,ADP1
4,employee_name,Johnny Snyder,Johnny Snyder,True,ADP1
4,employer_name,Cruz-Rodriguez Group,Cruz-Rodriguez Group,True,ADP1
4,federal_income_tax_withheld,57028.12,57028.12,True,ADP1
4,medicare_wages_and_tips,152081.76,152081.76,True,ADP1
4,social_security_wages,155302.71,155302.71,True,ADP1
4,state_1,KS,KS,True,ADP1
4,state_1_income_tax_withheld,4176.75,4176.75,True,ADP1
4,state_1_wages_and_tips,85181.15,85181.15,True,ADP1
4,state_2,,,True,ADP1
4,state_2_income_tax_withheld,,,True,ADP1
4,state_2_wages_and_tips,,,True,ADP1
4,wages_and_tips,172089.92,172089.92,True,ADP1
5,employee_name,Alec Stuart,Alec Stuart,True,ADP1
