

**ADP2 Overall Accuracy**: 97.33%

**ADP2 Field Summary**:
| Field                       |   total_comparisons |   matches |   mismatches |   accuracy |   mismatch_percentage |
|:----------------------------|--------------------:|----------:|-------------:|-----------:|----------------------:|
| employee_name               |                  25 |        24 |            1 |       0.96 |                  12.5 |
| employer_name               |                  25 |        25 |            0 |       1    |                   0   |
| federal_income_tax_withheld |                  25 |        25 |            0 |       1    |                   0   |
| medicare_wages_and_tips     |                  25 |        25 |            0 |       1    |                   0   |
| social_security_wages       |                  25 |        24 |            1 |       0.96 |                  12.5 |
| state_1                     |                  25 |        20 |            5 |       0.8  |                  62.5 |
| state_1_income_tax_withheld |                  25 |        24 |            1 |       0.96 |                  12.5 |
| state_1_wages_and_tips      |                  25 |        25 |            0 |       1    |                   0   |
| state_2                     |                  25 |        25 |            0 |       1    |                   0   |
| state_2_income_tax_withheld |                  25 |        25 |            0 |       1    |                   0   |
| state_2_wages_and_tips      |                  25 |        25 |            0 |       1    |                   0   |
| wages_and_tips              |                  25 |        25 |            0 |       1    |                   0   |

**ADP2 Sample Summary**:
|   Comparison ID |   total_fields |   matches |   mismatches |   accuracy |
|----------------:|---------------:|----------:|-------------:|-----------:|
|              25 |             12 |        12 |            0 |   1        |
|              26 |             12 |        12 |            0 |   1        |
|              27 |             12 |        12 |            0 |   1        |
|              28 |             12 |        12 |            0 |   1        |
|              29 |             12 |        12 |            0 |   1        |
|              30 |             12 |        12 |            0 |   1        |
|              31 |             12 |        12 |            0 |   1        |
|              32 |             12 |        10 |            2 |   0.833333 |
|              33 |             12 |        12 |            0 |   1        |
|              34 |             12 |        11 |            1 |   0.916667 |
|              35 |             12 |        12 |            0 |   1        |
|              36 |             12 |        12 |            0 |   1        |
|              37 |             12 |        12 |            0 |   1        |
|              38 |             12 |        11 |            1 |   0.916667 |
|              39 |             12 |        12 |            0 |   1        |
|              40 |             12 |        12 |            0 |   1        |
|              41 |             12 |         9 |            3 |   0.75     |
|              42 |             12 |        12 |            0 |   1        |
|              43 |             12 |        12 |            0 |   1        |
|              44 |             12 |        12 |            0 |   1        |
|              45 |             12 |        12 |            0 |   1        |
|              46 |             12 |        11 |            1 |   0.916667 |
|              47 |             12 |        12 |            0 |   1        |
|              48 |             12 |        12 |            0 |   1        |
|              49 |             12 |        12 |            0 |   1        |

**ADP2 Detailed Comparison**:
|   Comparison ID | Field                       | Predicted Value                    | Ground Truth Value                 |   Accuracy % |
|----------------:|:----------------------------|:-----------------------------------|:-----------------------------------|-------------:|
|              25 | employee_name               | Steven Gallagher                   | Steven Gallagher                   |          100 |
|              25 | employer_name               | Russell-Perry Ltd                  | Russell-Perry Ltd                  |          100 |
|              25 | federal_income_tax_withheld | 53019.99                           | 53019.99                           |          100 |
|              25 | medicare_wages_and_tips     | 186980.56                          | 186980.56                          |          100 |
|              25 | social_security_wages       | 202034.93                          | 202034.93                          |          100 |
|              25 | state_1                     | MS                                 | MS                                 |          100 |
|              25 | state_1_income_tax_withheld | 6352.73                            | 6352.73                            |          100 |
|              25 | state_1_wages_and_tips      | 84606.23                           | 84606.23                           |          100 |
|              25 | state_2                     | nan                                | nan                                |          100 |
|              25 | state_2_income_tax_withheld | nan                                | nan                                |          100 |
|              25 | state_2_wages_and_tips      | nan                                | nan                                |          100 |
|              25 | wages_and_tips              | 158646.42                          | 158646.42                          |          100 |
|              26 | employee_name               | James Patel                        | James Patel                        |          100 |
|              26 | employer_name               | Thomas, Wang and Dean Inc          | Thomas, Wang and Dean Inc          |          100 |
|              26 | federal_income_tax_withheld | 66193.23                           | 66193.23                           |          100 |
|              26 | medicare_wages_and_tips     | 190639.64                          | 190639.64                          |          100 |
|              26 | social_security_wages       | 193414.25                          | 193414.25                          |          100 |
|              26 | state_1                     | NV                                 | NV                                 |          100 |
|              26 | state_1_income_tax_withheld | 8020.75                            | 8020.75                            |          100 |
|              26 | state_1_wages_and_tips      | 114871.17                          | 114871.17                          |          100 |
|              26 | state_2                     | nan                                | nan                                |          100 |
