

**IRS1 Overall Accuracy**: 47.00%

**IRS1 Field Summary**:
| Field                       |   total_comparisons |   matches |   mismatches |   accuracy |   mismatch_percentage |
|:----------------------------|--------------------:|----------:|-------------:|-----------:|----------------------:|
| employee_name               |                  25 |        22 |            3 |       0.88 |               1.88679 |
| employer_name               |                  25 |        23 |            2 |       0.92 |               1.25786 |
| federal_income_tax_withheld |                  25 |        25 |            0 |       1    |               0       |
| medicare_wages_and_tips     |                  25 |        23 |            2 |       0.92 |               1.25786 |
| social_security_wages       |                  25 |        23 |            2 |       0.92 |               1.25786 |
| state_1                     |                  25 |         0 |           25 |       0    |              15.7233  |
| state_1_income_tax_withheld |                  25 |         0 |           25 |       0    |              15.7233  |
| state_1_wages_and_tips      |                  25 |         0 |           25 |       0    |              15.7233  |
| state_2                     |                  25 |         0 |           25 |       0    |              15.7233  |
| state_2_income_tax_withheld |                  25 |         0 |           25 |       0    |              15.7233  |
| state_2_wages_and_tips      |                  25 |         0 |           25 |       0    |              15.7233  |
| wages_and_tips              |                  25 |        25 |            0 |       1    |               0       |

**IRS1 Sample Summary**:
|   Comparison ID |   total_fields |   matches |   mismatches |   accuracy |
|----------------:|---------------:|----------:|-------------:|-----------:|
|              50 |             12 |         4 |            8 |   0.333333 |
|              51 |             12 |         5 |            7 |   0.416667 |
|              52 |             12 |         6 |            6 |   0.5      |
|              53 |             12 |         6 |            6 |   0.5      |
|              54 |             12 |         4 |            8 |   0.333333 |
|              55 |             12 |         6 |            6 |   0.5      |
|              56 |             12 |         6 |            6 |   0.5      |
|              57 |             12 |         6 |            6 |   0.5      |
|              58 |             12 |         6 |            6 |   0.5      |
|              59 |             12 |         6 |            6 |   0.5      |
|              60 |             12 |         6 |            6 |   0.5      |
|              61 |             12 |         6 |            6 |   0.5      |
|              62 |             12 |         6 |            6 |   0.5      |
|              63 |             12 |         6 |            6 |   0.5      |
|              64 |             12 |         6 |            6 |   0.5      |
|              65 |             12 |         5 |            7 |   0.416667 |
|              66 |             12 |         5 |            7 |   0.416667 |
|              67 |             12 |         6 |            6 |   0.5      |
|              68 |             12 |         6 |            6 |   0.5      |
|              69 |             12 |         4 |            8 |   0.333333 |
|              70 |             12 |         6 |            6 |   0.5      |
|              71 |             12 |         6 |            6 |   0.5      |
|              72 |             12 |         6 |            6 |   0.5      |
|              73 |             12 |         6 |            6 |   0.5      |
|              74 |             12 |         6 |            6 |   0.5      |

**IRS1 Detailed Comparison**:
|   Comparison ID | Field                       | Predicted Value                                                              | Ground Truth Value                |   Accuracy % |
|----------------:|:----------------------------|:-----------------------------------------------------------------------------|:----------------------------------|-------------:|
|              50 | employee_name               | Suff.                                                                        | Benjamin Burch                    |            0 |
|              50 | employer_name               | Ward, Allison and Jimenez Inc 96401 Shane Valley North Robert, PA 15928-7814 | Ward, Allison and Jimenez Inc     |            0 |
|              50 | federal_income_tax_withheld | 53423.50                                                                     | 53423.50                          |          100 |
|              50 | medicare_wages_and_tips     | 225347.99                                                                    | 225347.99                         |          100 |
|              50 | social_security_wages       | 272174.17                                                                    | 272174.17                         |          100 |
|              50 | state_1                     | MS                                                                           | UT                                |            0 |
|              50 | state_1_income_tax_withheld | 7135.46                                                                      | 6744.55                           |            0 |
|              50 | state_1_wages_and_tips      | 111269.12                                                                    | 101914.73                         |            0 |
|              50 | state_2                     | nan                                                                          | MS                                |            0 |
|              50 | state_2_income_tax_withheld | nan                                                                          | 7135.46                           |            0 |
|              50 | state_2_wages_and_tips      | nan                                                                          | 111269.12                         |            0 |
|              50 | wages_and_tips              | 209665.25                                                                    | 209665.25                         |          100 |
|              51 | employee_name               | Kevin David Suff.                                                            | Kevin David                       |            0 |
|              51 | employer_name               | Nolan-Conley LLC                                                             | Nolan-Conley LLC                  |          100 |
|              51 | federal_income_tax_withheld | 20338.94                                                                     | 20338.94                          |          100 |
|              51 | medicare_wages_and_tips     | 143486.80                                                                    | 143486.80                         |          100 |
|              51 | social_security_wages       | 92010.56                                                                     | 92010.56                          |          100 |
|              51 | state_1                     | MA                                                                           | IN                                |            0 |
|              51 | state_1_income_tax_withheld | 2444.56                                                                      | 2878.00                           |            0 |
|              51 | state_1_wages_and_tips      | 53139.71                                                                     | 59730.53                          |            0 |
|              51 | state_2                     | nan                                                                          | MA                                |            0 |
|              51 | state_2_income_tax_withheld | nan                                                                          | 2444.56                           |            0 |
|              51 | state_2_wages_and_tips      | nan                                                                          | 53139.71                          |            0 |
|              51 | wages_and_tips              | 110531.70                                                                    | 110531.70                         |          100 |
|              52 | employee_name               | Leonard Santos                                                               | Leonard Santos                    |          100 |
